LatestNews-timestamp,title,link
30 Min Ago,Here's why Jim Cramer thinks chip stocks can go higher,https://www.cnbc.com/2026/01/16/heres-why-jim-cramer-thinks-chip-stocks-can-go-higher.html
38 Min Ago,Cramer's Lightning Round: Sell Super Micro Computer,https://www.cnbc.com/2026/01/16/cramers-lightning-round-sell-super-micro-computer.html
1 Hour Ago,"Cramer's week ahead: Earnings from Netflix, Intel, Capital One, McCormick",https://www.cnbc.com/2026/01/16/cramers-week-ahead-earnings-from-netflix-intel-capital-one-mccormick.html
1 Hour Ago,Google files to appeal search monopoly case,https://www.cnbc.com/2026/01/16/google-files-to-appeal-search-monopoly-case.html
3 Hours Ago,"More employers worry about workers' financial well-being, research shows",https://www.cnbc.com/2026/01/16/employers-focusing-more-on-employee-financial-wellbeing-study-shows.html
3 Hours Ago,Republicans want to end the ‘marriage penalty’ for this childcare tax credit,https://www.cnbc.com/2026/01/16/child-and-dependent-care-tax-credit.html
3 Hours Ago,Labor Dept. accused of echoing Nazi slogan in social media post,https://www.cnbc.com/2026/01/16/trump-labor-nazi-slogan-social-media.html
4 Hours Ago,Education Department to delay collections on defaulted student loans,https://www.cnbc.com/2026/01/16/student-loan-collections-paused.html
4 Hours Ago,"Earnings reports, fears around interest rate outlook may sway markets next week",https://www.cnbc.com/2026/01/16/stock-market-next-week-outlook-for-jan-19-23-2026.html
4 Hours Ago,OpenAI has committed billions to recent chip deals. Some big names have been left out,https://www.cnbc.com/2026/01/16/openai-chip-deal-with-cerebras-adds-to-roster-of-nvidia-amd-broadcom.html
5 Hours Ago,One of our top stocks this week just lost its CFO — what it means for investors,https://www.cnbc.com/2026/01/16/one-of-our-top-stocks-this-week-just-lost-its-cfo-what-it-means-.html
6 Hours Ago,Hassett pivots to possible ‘Trump cards’ amid credit card battle with banks,https://www.cnbc.com/2026/01/16/white-house-hassett-trump-cards-credit-card-battle.html
6 Hours Ago,Can Home Depot's AI-powered push to court pros move the needle in its own business?,https://www.cnbc.com/2026/01/16/can-home-depots-ai-powered-push-to-court-pros-move-the-needle-in-its-own-business.html
6 Hours Ago,These stocks reporting earnings next week have a history of beating expectations,https://www.cnbc.com/2026/01/16/these-stocks-reporting-earnings-next-week-have-a-history-of-beating-expectations.html
6 Hours Ago,Coastal Virginia Offshore Wind to restart work after judge lifts Trump suspension,https://www.cnbc.com/2026/01/16/biggest-offshore-wind-project-in-us-to-resume-construction-after-judge-lifts-trump-suspension.html
6 Hours Ago,OpenAI to begin testing ads on ChatGPT in the U.S.,https://www.cnbc.com/2026/01/16/open-ai-chatgpt-ads-us.html
7 Hours Ago,Micron stock climbs as CEO highlights AI demand for memory,https://www.cnbc.com/2026/01/16/micron-stock-climbs-as-ceo-highlights-ai-demand-for-memory.html
7 Hours Ago,Stocks usually rally after getting added to S&P 500. These names could be next,https://www.cnbc.com/2026/01/16/stocks-usually-rally-big-after-getting-added-to-the-sp-500-index-these-could-be-next.html
8 Hours Ago,This energy stock is the clearest winner in efforts to power the AI buildout,https://www.cnbc.com/2026/01/16/this-energy-stock-is-the-clearest-winner-in-efforts-aimed-at-powering-the-ai-buildout.html
8 Hours Ago,"Stocks making big moves midday: Novo Nordisk, GE Vernova, Regions Financial and more",https://www.cnbc.com/2026/01/16/stocks-making-the-biggest-moves-midday-nvo-rf-gev-vst-and-more.html
8 Hours Ago,Novo Nordisk shares rise after Wegovy obesity pill has 'solid' start to launch,https://www.cnbc.com/2026/01/16/novo-nordisk-shares-wegovy-obesity-pill-launch.html
8 Hours Ago,"Micron has been on a tear. How to take profits, generate income on the chipmaker",https://www.cnbc.com/2026/01/16/micron-has-been-on-a-tear-how-to-take-profits-and-generate-income-on-the-chipmaker-using-options.html
8 Hours Ago,ASML hits record high on AI boost — and analysts see plenty of room to run,https://www.cnbc.com/2026/01/16/asml-record-high-ai-boom-tech-stocks.html
9 Hours Ago,Trump floats new tariffs in push to acquire Greenland,https://www.cnbc.com/2026/01/16/trump-greenland-tariffs.html
9 Hours Ago,This parenting style difference can lead to 'resentment and frustration'—do this instead,https://www.cnbc.com/2026/01/16/how-to-raise-successful-kids-when-you-and-your-partner-have-very-different-parenting-styles.html
9 Hours Ago,"How much $1,000 invested in a silver ETF a year ago is worth now",https://www.cnbc.com/2026/01/16/silver-prices-up-more-than-200-percent-over-past-year.html
9 Hours Ago,Trump tells Hassett he wants to keep him where he is; Warsh Fed chair odds jump,https://www.cnbc.com/2026/01/16/warsh-sprints-ahead-in-fed-chair-race-following-trump-comments-on-hassett-prediction-markets-show.html
9 Hours Ago,"This gym stock could see a boost from increase weight-loss pill use, says Stifel",https://www.cnbc.com/2026/01/16/this-gym-stock-could-see-a-boost-from-increase-weight-loss-pill-use-says-stifel.html
10 Hours Ago,"Keeping U.S. biotech ahead of China's could help rare disease patients, experts say",https://www.cnbc.com/2026/01/16/keeping-us-biotech-ahead-of-china-could-aid-rare-disease-patients-experts.html
10 Hours Ago,Trump wants tech companies to foot the bill for new power plants because of AI,https://www.cnbc.com/2026/01/16/trump-wants-tech-companies-to-foot-the-bill-for-new-power-plants-because-of-ai.html
