name,mana_cost,type_line,oracle_text,rarity,set,collector_number
Anticausal Vestige,{6},Creature — Eldrazi,"When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped.
Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,1
"Tezzeret, Cruel Captain",{3},Legendary Planeswalker — Tezzeret,"Whenever an artifact you control enters, put a loyalty counter on Tezzeret.
0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it.
−3: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
−7: You get an emblem with ""At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature.""",mythic,eoe,2
All-Fates Stalker,{3}{W},Creature — Drix Assassin,"When this creature enters, exile up to one target non-Assassin creature until this creature leaves the battlefield.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,3
Astelli Reclaimer,{3}{W}{W},Creature — Angel Warrior,"Flying
When this creature enters, return target noncreature, nonland permanent card with mana value X or less from your graveyard to the battlefield, where X is the amount of mana spent to cast this creature.
Warp {2}{W}",rare,eoe,4
Auxiliary Boosters,{4}{W},Artifact — Equipment,"When this Equipment enters, create a 2/2 colorless Robot artifact creature token and attach this Equipment to it.
Equipped creature gets +1/+2 and has flying.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",common,eoe,5
Banishing Light,{2}{W},Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",common,eoe,6
Beyond the Quiet,{3}{W}{W},Sorcery,Exile all creatures and Spacecraft.,rare,eoe,7
Brightspear Zealot,{2}{W},Creature — Human Soldier,"Vigilance
This creature gets +2/+0 as long as you've cast two or more spells this turn.",common,eoe,8
Cosmogrand Zenith,{2}{W},Creature — Human Soldier,"Whenever you cast your second spell each turn, choose one —
• Create two 1/1 white Human Soldier creature tokens.
• Put a +1/+1 counter on each creature you control.",mythic,eoe,9
Dawnstrike Vanguard,{5}{W},Creature — Human Knight,"Lifelink
At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on each creature you control other than this creature.",uncommon,eoe,10
Dockworker Drone,{1}{W},Artifact Creature — Robot,"This creature enters with a +1/+1 counter on it.
When this creature dies, put its counters on target creature you control.",common,eoe,11
Dual-Sun Adepts,{2}{W},Creature — Human Soldier,"Double strike
{5}: Creatures you control get +1/+1 until end of turn.",uncommon,eoe,12
Dual-Sun Technique,{1}{W},Instant,"Target creature you control gains double strike until end of turn. If it has a +1/+1 counter on it, draw a card.",uncommon,eoe,13
Emergency Eject,{2}{W},Instant,"Destroy target nonland permanent. Its controller creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,14
Exalted Sunborn,{3}{W}{W},Creature — Angel Wizard,"Flying, lifelink
If one or more tokens would be created under your control, twice that many of those tokens are created instead.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,15
Exosuit Savior,{2}{W},Creature — Human Soldier,"Flying
When this creature enters, return up to one other target permanent you control to its owner's hand.",common,eoe,16
Flight-Deck Coordinator,{2}{W},Creature — Human Soldier,"At the beginning of your end step, if you control two or more tapped creatures, you gain 2 life.",common,eoe,17
Focus Fire,{W},Instant,"Focus Fire deals X damage to target attacking or blocking creature, where X is 2 plus the number of creatures and/or Spacecraft you control.",common,eoe,18
"Haliya, Guided by Light",{2}{W},Legendary Creature — Human Soldier,"Whenever Haliya or another creature or artifact you control enters, you gain 1 life.
At the beginning of your end step, draw a card if you've gained 3 or more life this turn.
Warp {W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,19
Hardlight Containment,{W},Enchantment — Aura,"Enchant artifact you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.
Enchanted permanent has ward {1}.",rare,eoe,20
Honor,{W},Sorcery,"Put a +1/+1 counter on target creature.
Draw a card.",uncommon,eoe,21
Honored Knight-Captain,{1}{W},Creature — Human Advisor Knight,"When this creature enters, create a 1/1 white Human Soldier creature token.
{4}{W}{W}, Sacrifice this creature: Search your library for an Equipment card, put it onto the battlefield, then shuffle.",uncommon,eoe,22
